Country,Year,Minimum Wage (USD/hour),Unemployment Rate,Economic Growth,Essential Health Benefits,Tech & Cloud Job Availability,Customer Relations Job Availability,Annual Basic Food Basket,GPI Score,Peace Rank
Canada,2022,11.97,0.05,0.047,993,0.1,0.048,11250,1389,12
Canada,2023,12.34,0.054,0.02,1057,0.12,0.049,12053,1350,11
Canada,2024,12.63,0.063,0.02,1068,0.13,0.05,11980,1449,11
Canada,2025,12.7,0.069,0.017,1100,0.14,0.05,12370,1491,14
Canada,2026,12.87,0.067,0.011,1140,0.14,0.05,12800,1525,14
Norway,2022,18.2,0.035,0.03,3850,0.11,0.048,10700,1476,18
Norway,2023,18.2,0.036,0.004,4010,0.12,0.049,10900,1550,24
Norway,2024,18.7,0.04,0.006,4170,0.13,0.05,11250,1621,28
Norway,2025,19.7,0.045,0.02,4300,0.14,0.05,11800,1644,31
Norway,2026,20.1,0.046,0.016,4500,0.14,0.05,12150,1688,33
New Zealand,2022,13.48,0.033,0.04,1300,0.11,0.045,12350,1269,2
New Zealand,2023,13.94,0.036,0.015,1300,0.12,0.046,13100,1310,4
New Zealand,2024,14.0,0.047,0.007,1450,0.13,0.049,14050,1323,4
New Zealand,2025,13.68,0.05,0.002,1550,0.14,0.049,15800,1295,3
New Zealand,2026,14.02,0.05,0.015,1860,0.15,0.05,16700,1265,2
Australia,2022,14.83,0.035,0.036,1560,0.12,0.046,17550,1565,26
Australia,2023,15.43,0.037,0.021,1550,0.13,0.046,18200,1525,22
Australia,2024,15.89,0.041,0.013,1580,0.14,0.049,19200,1589,19
Australia,2025,16.09,0.043,0.02,1570,0.14,0.05,19800,1505,24
Australia,2026,18.0,0.045,0.025,1700,0.15,0.051,20200,1602,20
Brazil,2022,7.82,0.093,0.029,976,0.11,0.035,2850,2465,132
Brazil,2023,8.8,0.078,0.028,1162,0.13,0.038,3080,2462,132
Brazil,2024,8.83,0.066,0.034,1181,0.14,0.042,3310,2160,106
Brazil,2025,9.03,0.056,0.023,1236,0.15,0.046,3490,2472,130
Brazil,2026,10.13,0.054,0.018,1330,0.16,0.049,3650,2333,124
